NIR_No,Rows,year,test,loc,cross,plant_no,color,bar_code
NIR-06871,10,2021,HIF 5,PLY,1,RM19-2621,1,2021_PLY_HIF 5_1_RM19-2621_1_NIR-06871
NIR-06990,42,2021,HIF 6,CAS,30,Dunphy,2,2021_CAS_HIF 6_30_Dunphy_2_NIR-06990
NIR-06989,15,2021,HIF 6,CAS,30,Dunphy,1,2021_CAS_HIF 6_30_Dunphy_1_NIR-06989
NIR-06988,36,2021,HIF 6,CAS,29,Osage,2,2021_CAS_HIF 6_29_Osage_2_NIR-06988
NIR-06987,1,2021,HIF 6,CAS,29,Osage,1,2021_CAS_HIF 6_29_Osage_1_NIR-06987
NIR-06986,48,2021,HIF 6,CAS,28,Ellis,2,2021_CAS_HIF 6_28_Ellis_2_NIR-06986
NIR-06985,17,2021,HIF 6,CAS,28,Ellis,1,2021_CAS_HIF 6_28_Ellis_1_NIR-06985
NIR-06984,32,2021,HIF 6,CAS,27,RM19-2774,2,2021_CAS_HIF 6_27_RM19-2774_2_NIR-06984
NIR-06983,9,2021,HIF 6,CAS,27,RM19-2774,1,2021_CAS_HIF 6_27_RM19-2774_1_NIR-06983
NIR-06982,53,2021,HIF 6,CAS,26,RM19-2768,2,2021_CAS_HIF 6_26_RM19-2768_2_NIR-06982
NIR-06981,18,2021,HIF 6,CAS,26,RM19-2768,1,2021_CAS_HIF 6_26_RM19-2768_1_NIR-06981
NIR-06980,34,2021,HIF 6,CAS,25,RM19-2765,2,2021_CAS_HIF 6_25_RM19-2765_2_NIR-06980
NIR-06979,14,2021,HIF 6,CAS,25,RM19-2765,1,2021_CAS_HIF 6_25_RM19-2765_1_NIR-06979
NIR-06978,52,2021,HIF 6,CAS,24,RM19-2764,2,2021_CAS_HIF 6_24_RM19-2764_2_NIR-06978
NIR-06977,27,2021,HIF 6,CAS,24,RM19-2764,1,2021_CAS_HIF 6_24_RM19-2764_1_NIR-06977
NIR-06976,46,2021,HIF 6,CAS,23,RM19-2754,2,2021_CAS_HIF 6_23_RM19-2754_2_NIR-06976
NIR-06975,5,2021,HIF 6,CAS,23,RM19-2754,1,2021_CAS_HIF 6_23_RM19-2754_1_NIR-06975
NIR-06974,50,2021,HIF 6,CAS,22,RM19-2753,2,2021_CAS_HIF 6_22_RM19-2753_2_NIR-06974
NIR-06973,25,2021,HIF 6,CAS,22,RM19-2753,1,2021_CAS_HIF 6_22_RM19-2753_1_NIR-06973
NIR-06972,55,2021,HIF 6,CAS,21,RM19-2752,2,2021_CAS_HIF 6_21_RM19-2752_2_NIR-06972
NIR-06971,20,2021,HIF 6,CAS,21,RM19-2752,1,2021_CAS_HIF 6_21_RM19-2752_1_NIR-06971
NIR-06970,33,2021,HIF 6,CAS,20,RM19-2751,2,2021_CAS_HIF 6_20_RM19-2751_2_NIR-06970
NIR-06969,24,2021,HIF 6,CAS,20,RM19-2751,1,2021_CAS_HIF 6_20_RM19-2751_1_NIR-06969
NIR-06968,58,2021,HIF 6,CAS,19,RM19-2750,2,2021_CAS_HIF 6_19_RM19-2750_2_NIR-06968
NIR-06967,19,2021,HIF 6,CAS,19,RM19-2750,1,2021_CAS_HIF 6_19_RM19-2750_1_NIR-06967
NIR-06966,40,2021,HIF 6,CAS,18,RM19-2749,2,2021_CAS_HIF 6_18_RM19-2749_2_NIR-06966
NIR-06965,10,2021,HIF 6,CAS,18,RM19-2749,1,2021_CAS_HIF 6_18_RM19-2749_1_NIR-06965
NIR-06964,43,2021,HIF 6,CAS,17,RM19-2747,2,2021_CAS_HIF 6_17_RM19-2747_2_NIR-06964
NIR-06963,4,2021,HIF 6,CAS,17,RM19-2747,1,2021_CAS_HIF 6_17_RM19-2747_1_NIR-06963
NIR-06962,38,2021,HIF 6,CAS,16,RM19-2728,2,2021_CAS_HIF 6_16_RM19-2728_2_NIR-06962
NIR-06961,13,2021,HIF 6,CAS,16,RM19-2728,1,2021_CAS_HIF 6_16_RM19-2728_1_NIR-06961
NIR-06960,60,2021,HIF 6,CAS,15,RM19-2726,2,2021_CAS_HIF 6_15_RM19-2726_2_NIR-06960
NIR-06959,2,2021,HIF 6,CAS,15,RM19-2726,1,2021_CAS_HIF 6_15_RM19-2726_1_NIR-06959
NIR-06958,59,2021,HIF 6,CAS,14,RM19-2725,2,2021_CAS_HIF 6_14_RM19-2725_2_NIR-06958
NIR-06957,16,2021,HIF 6,CAS,14,RM19-2725,1,2021_CAS_HIF 6_14_RM19-2725_1_NIR-06957
NIR-06956,35,2021,HIF 6,CAS,13,RM19-2719,2,2021_CAS_HIF 6_13_RM19-2719_2_NIR-06956
NIR-06955,12,2021,HIF 6,CAS,13,RM19-2719,1,2021_CAS_HIF 6_13_RM19-2719_1_NIR-06955
NIR-06954,47,2021,HIF 6,CAS,12,RM19-2718,2,2021_CAS_HIF 6_12_RM19-2718_2_NIR-06954
NIR-06953,3,2021,HIF 6,CAS,12,RM19-2718,1,2021_CAS_HIF 6_12_RM19-2718_1_NIR-06953
NIR-06952,41,2021,HIF 6,CAS,11,RM19-2717,2,2021_CAS_HIF 6_11_RM19-2717_2_NIR-06952
NIR-06951,26,2021,HIF 6,CAS,11,RM19-2717,1,2021_CAS_HIF 6_11_RM19-2717_1_NIR-06951
NIR-06950,39,2021,HIF 6,CAS,10,RM19-2714,2,2021_CAS_HIF 6_10_RM19-2714_2_NIR-06950
NIR-06949,6,2021,HIF 6,CAS,10,RM19-2714,1,2021_CAS_HIF 6_10_RM19-2714_1_NIR-06949
