NIR_No,Rows,year,test,loc,cross,plant_no,color,bar_code
NIR-07848,95,2021,LU 5 Early-2,PLY,1,N19-0004,3,2021_PLY_LU 5 Early-2_1_N19-0004_3_NIR-07848
NIR-07847,77,2021,LU 5 Early-2,PLY,1,N19-0004,2,2021_PLY_LU 5 Early-2_1_N19-0004_2_NIR-07847
NIR-07846,11,2021,LU 5 Early-2,PLY,1,N19-0004,1,2021_PLY_LU 5 Early-2_1_N19-0004_1_NIR-07846
NIR-08055,69,2021,LU 5 Late-1,CAS,30,N16-8564,3,2021_CAS_LU 5 Late-1_30_N16-8564_3_NIR-08055
NIR-08054,45,2021,LU 5 Late-1,CAS,30,N16-8564,2,2021_CAS_LU 5 Late-1_30_N16-8564_2_NIR-08054
NIR-08053,30,2021,LU 5 Late-1,CAS,30,N16-8564,1,2021_CAS_LU 5 Late-1_30_N16-8564_1_NIR-08053
NIR-08052,89,2021,LU 5 Late-1,CAS,29,Osage,3,2021_CAS_LU 5 Late-1_29_Osage_3_NIR-08052
NIR-08051,53,2021,LU 5 Late-1,CAS,29,Osage,2,2021_CAS_LU 5 Late-1_29_Osage_2_NIR-08051
NIR-08050,23,2021,LU 5 Late-1,CAS,29,Osage,1,2021_CAS_LU 5 Late-1_29_Osage_1_NIR-08050
NIR-08049,65,2021,LU 5 Late-1,CAS,28,TN11-5140,3,2021_CAS_LU 5 Late-1_28_TN11-5140_3_NIR-08049
NIR-08048,46,2021,LU 5 Late-1,CAS,28,TN11-5140,2,2021_CAS_LU 5 Late-1_28_TN11-5140_2_NIR-08048
NIR-08047,19,2021,LU 5 Late-1,CAS,28,TN11-5140,1,2021_CAS_LU 5 Late-1_28_TN11-5140_1_NIR-08047
NIR-08046,68,2021,LU 5 Late-1,CAS,27,N18-1302,3,2021_CAS_LU 5 Late-1_27_N18-1302_3_NIR-08046
NIR-08045,39,2021,LU 5 Late-1,CAS,27,N18-1302,2,2021_CAS_LU 5 Late-1_27_N18-1302_2_NIR-08045
NIR-08044,2,2021,LU 5 Late-1,CAS,27,N18-1302,1,2021_CAS_LU 5 Late-1_27_N18-1302_1_NIR-08044
NIR-08043,87,2021,LU 5 Late-1,CAS,26,N18-1218,3,2021_CAS_LU 5 Late-1_26_N18-1218_3_NIR-08043
NIR-08042,49,2021,LU 5 Late-1,CAS,26,N18-1218,2,2021_CAS_LU 5 Late-1_26_N18-1218_2_NIR-08042
NIR-08041,9,2021,LU 5 Late-1,CAS,26,N18-1218,1,2021_CAS_LU 5 Late-1_26_N18-1218_1_NIR-08041
NIR-08040,74,2021,LU 5 Late-1,CAS,25,N18-1188,3,2021_CAS_LU 5 Late-1_25_N18-1188_3_NIR-08040
NIR-08039,52,2021,LU 5 Late-1,CAS,25,N18-1188,2,2021_CAS_LU 5 Late-1_25_N18-1188_2_NIR-08039
NIR-08038,10,2021,LU 5 Late-1,CAS,25,N18-1188,1,2021_CAS_LU 5 Late-1_25_N18-1188_1_NIR-08038
NIR-08037,85,2021,LU 5 Late-1,CAS,24,N18-976,3,2021_CAS_LU 5 Late-1_24_N18-976_3_NIR-08037
NIR-08036,48,2021,LU 5 Late-1,CAS,24,N18-976,2,2021_CAS_LU 5 Late-1_24_N18-976_2_NIR-08036
NIR-08035,16,2021,LU 5 Late-1,CAS,24,N18-976,1,2021_CAS_LU 5 Late-1_24_N18-976_1_NIR-08035
NIR-08034,66,2021,LU 5 Late-1,CAS,23,N18-973,3,2021_CAS_LU 5 Late-1_23_N18-973_3_NIR-08034
NIR-08033,55,2021,LU 5 Late-1,CAS,23,N18-973,2,2021_CAS_LU 5 Late-1_23_N18-973_2_NIR-08033
NIR-08032,1,2021,LU 5 Late-1,CAS,23,N18-973,1,2021_CAS_LU 5 Late-1_23_N18-973_1_NIR-08032
NIR-08031,64,2021,LU 5 Late-1,CAS,22,N18-972,3,2021_CAS_LU 5 Late-1_22_N18-972_3_NIR-08031
NIR-08030,41,2021,LU 5 Late-1,CAS,22,N18-972,2,2021_CAS_LU 5 Late-1_22_N18-972_2_NIR-08030
NIR-08029,6,2021,LU 5 Late-1,CAS,22,N18-972,1,2021_CAS_LU 5 Late-1_22_N18-972_1_NIR-08029
NIR-08028,81,2021,LU 5 Late-1,CAS,21,N18-963,3,2021_CAS_LU 5 Late-1_21_N18-963_3_NIR-08028
NIR-08027,56,2021,LU 5 Late-1,CAS,21,N18-963,2,2021_CAS_LU 5 Late-1_21_N18-963_2_NIR-08027
NIR-08026,13,2021,LU 5 Late-1,CAS,21,N18-963,1,2021_CAS_LU 5 Late-1_21_N18-963_1_NIR-08026
NIR-08025,67,2021,LU 5 Late-1,CAS,20,N18-952,3,2021_CAS_LU 5 Late-1_20_N18-952_3_NIR-08025
NIR-08024,51,2021,LU 5 Late-1,CAS,20,N18-952,2,2021_CAS_LU 5 Late-1_20_N18-952_2_NIR-08024
NIR-08023,22,2021,LU 5 Late-1,CAS,20,N18-952,1,2021_CAS_LU 5 Late-1_20_N18-952_1_NIR-08023
NIR-08022,88,2021,LU 5 Late-1,CAS,19,N18-951,3,2021_CAS_LU 5 Late-1_19_N18-951_3_NIR-08022
NIR-08021,57,2021,LU 5 Late-1,CAS,19,N18-951,2,2021_CAS_LU 5 Late-1_19_N18-951_2_NIR-08021
NIR-08020,14,2021,LU 5 Late-1,CAS,19,N18-951,1,2021_CAS_LU 5 Late-1_19_N18-951_1_NIR-08020
NIR-08019,70,2021,LU 5 Late-1,CAS,18,N18-937,3,2021_CAS_LU 5 Late-1_18_N18-937_3_NIR-08019
NIR-08018,50,2021,LU 5 Late-1,CAS,18,N18-937,2,2021_CAS_LU 5 Late-1_18_N18-937_2_NIR-08018
NIR-08017,17,2021,LU 5 Late-1,CAS,18,N18-937,1,2021_CAS_LU 5 Late-1_18_N18-937_1_NIR-08017
NIR-08016,78,2021,LU 5 Late-1,CAS,17,N18-688,3,2021_CAS_LU 5 Late-1_17_N18-688_3_NIR-08016
NIR-08015,31,2021,LU 5 Late-1,CAS,17,N18-688,2,2021_CAS_LU 5 Late-1_17_N18-688_2_NIR-08015
NIR-08014,21,2021,LU 5 Late-1,CAS,17,N18-688,1,2021_CAS_LU 5 Late-1_17_N18-688_1_NIR-08014
NIR-08013,75,2021,LU 5 Late-1,CAS,16,N18-679,3,2021_CAS_LU 5 Late-1_16_N18-679_3_NIR-08013
NIR-08012,47,2021,LU 5 Late-1,CAS,16,N18-679,2,2021_CAS_LU 5 Late-1_16_N18-679_2_NIR-08012
NIR-08011,24,2021,LU 5 Late-1,CAS,16,N18-679,1,2021_CAS_LU 5 Late-1_16_N18-679_1_NIR-08011
NIR-08010,82,2021,LU 5 Late-1,CAS,15,N18-303,3,2021_CAS_LU 5 Late-1_15_N18-303_3_NIR-08010
NIR-08009,60,2021,LU 5 Late-1,CAS,15,N18-303,2,2021_CAS_LU 5 Late-1_15_N18-303_2_NIR-08009
NIR-08008,18,2021,LU 5 Late-1,CAS,15,N18-303,1,2021_CAS_LU 5 Late-1_15_N18-303_1_NIR-08008
NIR-08007,79,2021,LU 5 Late-1,CAS,14,N18-248,3,2021_CAS_LU 5 Late-1_14_N18-248_3_NIR-08007
NIR-08006,37,2021,LU 5 Late-1,CAS,14,N18-248,2,2021_CAS_LU 5 Late-1_14_N18-248_2_NIR-08006
NIR-08005,3,2021,LU 5 Late-1,CAS,14,N18-248,1,2021_CAS_LU 5 Late-1_14_N18-248_1_NIR-08005
NIR-08004,83,2021,LU 5 Late-1,CAS,13,N16-600,3,2021_CAS_LU 5 Late-1_13_N16-600_3_NIR-08004
NIR-08003,32,2021,LU 5 Late-1,CAS,13,N16-600,2,2021_CAS_LU 5 Late-1_13_N16-600_2_NIR-08003
NIR-08002,20,2021,LU 5 Late-1,CAS,13,N16-600,1,2021_CAS_LU 5 Late-1_13_N16-600_1_NIR-08002
NIR-08001,76,2021,LU 5 Late-1,CAS,12,N17-2496,3,2021_CAS_LU 5 Late-1_12_N17-2496_3_NIR-08001
NIR-08000,40,2021,LU 5 Late-1,CAS,12,N17-2496,2,2021_CAS_LU 5 Late-1_12_N17-2496_2_NIR-08000
NIR-07999,25,2021,LU 5 Late-1,CAS,12,N17-2496,1,2021_CAS_LU 5 Late-1_12_N17-2496_1_NIR-07999
NIR-07998,77,2021,LU 5 Late-1,CAS,11,N17-2491,3,2021_CAS_LU 5 Late-1_11_N17-2491_3_NIR-07998
NIR-07997,38,2021,LU 5 Late-1,CAS,11,N17-2491,2,2021_CAS_LU 5 Late-1_11_N17-2491_2_NIR-07997
NIR-07996,8,2021,LU 5 Late-1,CAS,11,N17-2491,1,2021_CAS_LU 5 Late-1_11_N17-2491_1_NIR-07996
NIR-07995,84,2021,LU 5 Late-1,CAS,10,N17-2508,3,2021_CAS_LU 5 Late-1_10_N17-2508_3_NIR-07995
NIR-07994,33,2021,LU 5 Late-1,CAS,10,N17-2508,2,2021_CAS_LU 5 Late-1_10_N17-2508_2_NIR-07994
NIR-07993,12,2021,LU 5 Late-1,CAS,10,N17-2508,1,2021_CAS_LU 5 Late-1_10_N17-2508_1_NIR-07993
NIR-07992,86,2021,LU 5 Late-1,CAS,9,N17-2488,3,2021_CAS_LU 5 Late-1_9_N17-2488_3_NIR-07992
NIR-07991,42,2021,LU 5 Late-1,CAS,9,N17-2488,2,2021_CAS_LU 5 Late-1_9_N17-2488_2_NIR-07991
NIR-07990,28,2021,LU 5 Late-1,CAS,9,N17-2488,1,2021_CAS_LU 5 Late-1_9_N17-2488_1_NIR-07990
NIR-07989,72,2021,LU 5 Late-1,CAS,8,N17-1853,3,2021_CAS_LU 5 Late-1_8_N17-1853_3_NIR-07989
NIR-07988,59,2021,LU 5 Late-1,CAS,8,N17-1853,2,2021_CAS_LU 5 Late-1_8_N17-1853_2_NIR-07988
NIR-07987,27,2021,LU 5 Late-1,CAS,8,N17-1853,1,2021_CAS_LU 5 Late-1_8_N17-1853_1_NIR-07987
NIR-07986,80,2021,LU 5 Late-1,CAS,7,N17-1469,3,2021_CAS_LU 5 Late-1_7_N17-1469_3_NIR-07986
NIR-07985,36,2021,LU 5 Late-1,CAS,7,N17-1469,2,2021_CAS_LU 5 Late-1_7_N17-1469_2_NIR-07985
NIR-07984,5,2021,LU 5 Late-1,CAS,7,N17-1469,1,2021_CAS_LU 5 Late-1_7_N17-1469_1_NIR-07984
NIR-07983,90,2021,LU 5 Late-1,CAS,6,N17-1459,3,2021_CAS_LU 5 Late-1_6_N17-1459_3_NIR-07983
NIR-07982,43,2021,LU 5 Late-1,CAS,6,N17-1459,2,2021_CAS_LU 5 Late-1_6_N17-1459_2_NIR-07982
NIR-07981,26,2021,LU 5 Late-1,CAS,6,N17-1459,1,2021_CAS_LU 5 Late-1_6_N17-1459_1_NIR-07981
NIR-07980,62,2021,LU 5 Late-1,CAS,5,N17-682,3,2021_CAS_LU 5 Late-1_5_N17-682_3_NIR-07980
NIR-07979,35,2021,LU 5 Late-1,CAS,5,N17-682,2,2021_CAS_LU 5 Late-1_5_N17-682_2_NIR-07979
NIR-07978,11,2021,LU 5 Late-1,CAS,5,N17-682,1,2021_CAS_LU 5 Late-1_5_N17-682_1_NIR-07978
NIR-07977,71,2021,LU 5 Late-1,CAS,4,N17-1157,3,2021_CAS_LU 5 Late-1_4_N17-1157_3_NIR-07977
NIR-07976,58,2021,LU 5 Late-1,CAS,4,N17-1157,2,2021_CAS_LU 5 Late-1_4_N17-1157_2_NIR-07976
NIR-07975,15,2021,LU 5 Late-1,CAS,4,N17-1157,1,2021_CAS_LU 5 Late-1_4_N17-1157_1_NIR-07975
NIR-07974,63,2021,LU 5 Late-1,CAS,3,N17-2319,3,2021_CAS_LU 5 Late-1_3_N17-2319_3_NIR-07974
NIR-07973,54,2021,LU 5 Late-1,CAS,3,N17-2319,2,2021_CAS_LU 5 Late-1_3_N17-2319_2_NIR-07973
NIR-07972,29,2021,LU 5 Late-1,CAS,3,N17-2319,1,2021_CAS_LU 5 Late-1_3_N17-2319_1_NIR-07972
NIR-07971,61,2021,LU 5 Late-1,CAS,2,N17-882,3,2021_CAS_LU 5 Late-1_2_N17-882_3_NIR-07971
NIR-07970,44,2021,LU 5 Late-1,CAS,2,N17-882,2,2021_CAS_LU 5 Late-1_2_N17-882_2_NIR-07970
NIR-07969,4,2021,LU 5 Late-1,CAS,2,N17-882,1,2021_CAS_LU 5 Late-1_2_N17-882_1_NIR-07969
NIR-07968,73,2021,LU 5 Late-1,CAS,1,N17-701,3,2021_CAS_LU 5 Late-1_1_N17-701_3_NIR-07968
NIR-07967,34,2021,LU 5 Late-1,CAS,1,N17-701,2,2021_CAS_LU 5 Late-1_1_N17-701_2_NIR-07967
NIR-07966,7,2021,LU 5 Late-1,CAS,1,N17-701,1,2021_CAS_LU 5 Late-1_1_N17-701_1_NIR-07966
NIR-08145,80,2021,LU 5 Late-1,PLY,30,N16-8564,3,2021_PLY_LU 5 Late-1_30_N16-8564_3_NIR-08145
NIR-08144,45,2021,LU 5 Late-1,PLY,30,N16-8564,2,2021_PLY_LU 5 Late-1_30_N16-8564_2_NIR-08144
NIR-08143,21,2021,LU 5 Late-1,PLY,30,N16-8564,1,2021_PLY_LU 5 Late-1_30_N16-8564_1_NIR-08143
NIR-08142,83,2021,LU 5 Late-1,PLY,29,Osage,3,2021_PLY_LU 5 Late-1_29_Osage_3_NIR-08142
NIR-08141,41,2021,LU 5 Late-1,PLY,29,Osage,2,2021_PLY_LU 5 Late-1_29_Osage_2_NIR-08141
NIR-08140,8,2021,LU 5 Late-1,PLY,29,Osage,1,2021_PLY_LU 5 Late-1_29_Osage_1_NIR-08140
NIR-08139,88,2021,LU 5 Late-1,PLY,28,TN11-5140,3,2021_PLY_LU 5 Late-1_28_TN11-5140_3_NIR-08139
NIR-08138,47,2021,LU 5 Late-1,PLY,28,TN11-5140,2,2021_PLY_LU 5 Late-1_28_TN11-5140_2_NIR-08138
NIR-08137,30,2021,LU 5 Late-1,PLY,28,TN11-5140,1,2021_PLY_LU 5 Late-1_28_TN11-5140_1_NIR-08137
NIR-08136,90,2021,LU 5 Late-1,PLY,27,N18-1302,3,2021_PLY_LU 5 Late-1_27_N18-1302_3_NIR-08136
NIR-08135,44,2021,LU 5 Late-1,PLY,27,N18-1302,2,2021_PLY_LU 5 Late-1_27_N18-1302_2_NIR-08135
NIR-08134,28,2021,LU 5 Late-1,PLY,27,N18-1302,1,2021_PLY_LU 5 Late-1_27_N18-1302_1_NIR-08134
NIR-08133,66,2021,LU 5 Late-1,PLY,26,N18-1218,3,2021_PLY_LU 5 Late-1_26_N18-1218_3_NIR-08133
NIR-08132,36,2021,LU 5 Late-1,PLY,26,N18-1218,2,2021_PLY_LU 5 Late-1_26_N18-1218_2_NIR-08132
NIR-08131,9,2021,LU 5 Late-1,PLY,26,N18-1218,1,2021_PLY_LU 5 Late-1_26_N18-1218_1_NIR-08131
NIR-08130,81,2021,LU 5 Late-1,PLY,25,N18-1188,3,2021_PLY_LU 5 Late-1_25_N18-1188_3_NIR-08130
NIR-08129,46,2021,LU 5 Late-1,PLY,25,N18-1188,2,2021_PLY_LU 5 Late-1_25_N18-1188_2_NIR-08129
NIR-08128,6,2021,LU 5 Late-1,PLY,25,N18-1188,1,2021_PLY_LU 5 Late-1_25_N18-1188_1_NIR-08128
NIR-08127,86,2021,LU 5 Late-1,PLY,24,N18-976,3,2021_PLY_LU 5 Late-1_24_N18-976_3_NIR-08127
NIR-08126,39,2021,LU 5 Late-1,PLY,24,N18-976,2,2021_PLY_LU 5 Late-1_24_N18-976_2_NIR-08126
NIR-08125,5,2021,LU 5 Late-1,PLY,24,N18-976,1,2021_PLY_LU 5 Late-1_24_N18-976_1_NIR-08125
NIR-08124,79,2021,LU 5 Late-1,PLY,23,N18-973,3,2021_PLY_LU 5 Late-1_23_N18-973_3_NIR-08124
NIR-08123,50,2021,LU 5 Late-1,PLY,23,N18-973,2,2021_PLY_LU 5 Late-1_23_N18-973_2_NIR-08123
NIR-08122,7,2021,LU 5 Late-1,PLY,23,N18-973,1,2021_PLY_LU 5 Late-1_23_N18-973_1_NIR-08122
NIR-08121,64,2021,LU 5 Late-1,PLY,22,N18-972,3,2021_PLY_LU 5 Late-1_22_N18-972_3_NIR-08121
NIR-08120,43,2021,LU 5 Late-1,PLY,22,N18-972,2,2021_PLY_LU 5 Late-1_22_N18-972_2_NIR-08120
NIR-08119,24,2021,LU 5 Late-1,PLY,22,N18-972,1,2021_PLY_LU 5 Late-1_22_N18-972_1_NIR-08119
NIR-08118,75,2021,LU 5 Late-1,PLY,21,N18-963,3,2021_PLY_LU 5 Late-1_21_N18-963_3_NIR-08118
NIR-08117,54,2021,LU 5 Late-1,PLY,21,N18-963,2,2021_PLY_LU 5 Late-1_21_N18-963_2_NIR-08117
NIR-08116,13,2021,LU 5 Late-1,PLY,21,N18-963,1,2021_PLY_LU 5 Late-1_21_N18-963_1_NIR-08116
NIR-08115,65,2021,LU 5 Late-1,PLY,20,N18-952,3,2021_PLY_LU 5 Late-1_20_N18-952_3_NIR-08115
NIR-08114,48,2021,LU 5 Late-1,PLY,20,N18-952,2,2021_PLY_LU 5 Late-1_20_N18-952_2_NIR-08114
NIR-08113,3,2021,LU 5 Late-1,PLY,20,N18-952,1,2021_PLY_LU 5 Late-1_20_N18-952_1_NIR-08113
NIR-08112,68,2021,LU 5 Late-1,PLY,19,N18-951,3,2021_PLY_LU 5 Late-1_19_N18-951_3_NIR-08112
NIR-08111,34,2021,LU 5 Late-1,PLY,19,N18-951,2,2021_PLY_LU 5 Late-1_19_N18-951_2_NIR-08111
NIR-08110,12,2021,LU 5 Late-1,PLY,19,N18-951,1,2021_PLY_LU 5 Late-1_19_N18-951_1_NIR-08110
NIR-08109,62,2021,LU 5 Late-1,PLY,18,N18-937,3,2021_PLY_LU 5 Late-1_18_N18-937_3_NIR-08109
NIR-08108,40,2021,LU 5 Late-1,PLY,18,N18-937,2,2021_PLY_LU 5 Late-1_18_N18-937_2_NIR-08108
NIR-08107,27,2021,LU 5 Late-1,PLY,18,N18-937,1,2021_PLY_LU 5 Late-1_18_N18-937_1_NIR-08107
NIR-08106,82,2021,LU 5 Late-1,PLY,17,N18-688,3,2021_PLY_LU 5 Late-1_17_N18-688_3_NIR-08106
NIR-08105,53,2021,LU 5 Late-1,PLY,17,N18-688,2,2021_PLY_LU 5 Late-1_17_N18-688_2_NIR-08105
NIR-08104,26,2021,LU 5 Late-1,PLY,17,N18-688,1,2021_PLY_LU 5 Late-1_17_N18-688_1_NIR-08104
NIR-08103,70,2021,LU 5 Late-1,PLY,16,N18-679,3,2021_PLY_LU 5 Late-1_16_N18-679_3_NIR-08103
NIR-08102,42,2021,LU 5 Late-1,PLY,16,N18-679,2,2021_PLY_LU 5 Late-1_16_N18-679_2_NIR-08102
NIR-08101,18,2021,LU 5 Late-1,PLY,16,N18-679,1,2021_PLY_LU 5 Late-1_16_N18-679_1_NIR-08101
NIR-08100,74,2021,LU 5 Late-1,PLY,15,N18-303,3,2021_PLY_LU 5 Late-1_15_N18-303_3_NIR-08100
NIR-08099,59,2021,LU 5 Late-1,PLY,15,N18-303,2,2021_PLY_LU 5 Late-1_15_N18-303_2_NIR-08099
NIR-08098,14,2021,LU 5 Late-1,PLY,15,N18-303,1,2021_PLY_LU 5 Late-1_15_N18-303_1_NIR-08098
NIR-08097,89,2021,LU 5 Late-1,PLY,14,N18-248,3,2021_PLY_LU 5 Late-1_14_N18-248_3_NIR-08097
NIR-08096,33,2021,LU 5 Late-1,PLY,14,N18-248,2,2021_PLY_LU 5 Late-1_14_N18-248_2_NIR-08096
NIR-08095,10,2021,LU 5 Late-1,PLY,14,N18-248,1,2021_PLY_LU 5 Late-1_14_N18-248_1_NIR-08095
NIR-08094,77,2021,LU 5 Late-1,PLY,13,N16-600,3,2021_PLY_LU 5 Late-1_13_N16-600_3_NIR-08094
NIR-08093,31,2021,LU 5 Late-1,PLY,13,N16-600,2,2021_PLY_LU 5 Late-1_13_N16-600_2_NIR-08093
NIR-08092,1,2021,LU 5 Late-1,PLY,13,N16-600,1,2021_PLY_LU 5 Late-1_13_N16-600_1_NIR-08092
NIR-08091,78,2021,LU 5 Late-1,PLY,12,N17-2496,3,2021_PLY_LU 5 Late-1_12_N17-2496_3_NIR-08091
NIR-08090,37,2021,LU 5 Late-1,PLY,12,N17-2496,2,2021_PLY_LU 5 Late-1_12_N17-2496_2_NIR-08090
NIR-08089,29,2021,LU 5 Late-1,PLY,12,N17-2496,1,2021_PLY_LU 5 Late-1_12_N17-2496_1_NIR-08089
NIR-08088,87,2021,LU 5 Late-1,PLY,11,N17-2491,3,2021_PLY_LU 5 Late-1_11_N17-2491_3_NIR-08088
NIR-08087,51,2021,LU 5 Late-1,PLY,11,N17-2491,2,2021_PLY_LU 5 Late-1_11_N17-2491_2_NIR-08087
NIR-08086,25,2021,LU 5 Late-1,PLY,11,N17-2491,1,2021_PLY_LU 5 Late-1_11_N17-2491_1_NIR-08086
NIR-08085,73,2021,LU 5 Late-1,PLY,10,N17-2508,3,2021_PLY_LU 5 Late-1_10_N17-2508_3_NIR-08085
NIR-08084,55,2021,LU 5 Late-1,PLY,10,N17-2508,2,2021_PLY_LU 5 Late-1_10_N17-2508_2_NIR-08084
NIR-08083,4,2021,LU 5 Late-1,PLY,10,N17-2508,1,2021_PLY_LU 5 Late-1_10_N17-2508_1_NIR-08083
NIR-08082,71,2021,LU 5 Late-1,PLY,9,N17-2488,3,2021_PLY_LU 5 Late-1_9_N17-2488_3_NIR-08082
NIR-08081,35,2021,LU 5 Late-1,PLY,9,N17-2488,2,2021_PLY_LU 5 Late-1_9_N17-2488_2_NIR-08081
NIR-08080,16,2021,LU 5 Late-1,PLY,9,N17-2488,1,2021_PLY_LU 5 Late-1_9_N17-2488_1_NIR-08080
NIR-08079,69,2021,LU 5 Late-1,PLY,8,N17-1853,3,2021_PLY_LU 5 Late-1_8_N17-1853_3_NIR-08079
NIR-08078,57,2021,LU 5 Late-1,PLY,8,N17-1853,2,2021_PLY_LU 5 Late-1_8_N17-1853_2_NIR-08078
NIR-08077,20,2021,LU 5 Late-1,PLY,8,N17-1853,1,2021_PLY_LU 5 Late-1_8_N17-1853_1_NIR-08077
NIR-08076,76,2021,LU 5 Late-1,PLY,7,N17-1469,3,2021_PLY_LU 5 Late-1_7_N17-1469_3_NIR-08076
NIR-08075,49,2021,LU 5 Late-1,PLY,7,N17-1469,2,2021_PLY_LU 5 Late-1_7_N17-1469_2_NIR-08075
NIR-08074,19,2021,LU 5 Late-1,PLY,7,N17-1469,1,2021_PLY_LU 5 Late-1_7_N17-1469_1_NIR-08074
NIR-08073,67,2021,LU 5 Late-1,PLY,6,N17-1459,3,2021_PLY_LU 5 Late-1_6_N17-1459_3_NIR-08073
NIR-08072,38,2021,LU 5 Late-1,PLY,6,N17-1459,2,2021_PLY_LU 5 Late-1_6_N17-1459_2_NIR-08072
NIR-08071,23,2021,LU 5 Late-1,PLY,6,N17-1459,1,2021_PLY_LU 5 Late-1_6_N17-1459_1_NIR-08071
NIR-08070,72,2021,LU 5 Late-1,PLY,5,N17-682,3,2021_PLY_LU 5 Late-1_5_N17-682_3_NIR-08070
NIR-08069,60,2021,LU 5 Late-1,PLY,5,N17-682,2,2021_PLY_LU 5 Late-1_5_N17-682_2_NIR-08069
NIR-08068,11,2021,LU 5 Late-1,PLY,5,N17-682,1,2021_PLY_LU 5 Late-1_5_N17-682_1_NIR-08068
NIR-08067,61,2021,LU 5 Late-1,PLY,4,N17-1157,3,2021_PLY_LU 5 Late-1_4_N17-1157_3_NIR-08067
NIR-08066,58,2021,LU 5 Late-1,PLY,4,N17-1157,2,2021_PLY_LU 5 Late-1_4_N17-1157_2_NIR-08066
NIR-08065,15,2021,LU 5 Late-1,PLY,4,N17-1157,1,2021_PLY_LU 5 Late-1_4_N17-1157_1_NIR-08065
NIR-08064,84,2021,LU 5 Late-1,PLY,3,N17-2319,3,2021_PLY_LU 5 Late-1_3_N17-2319_3_NIR-08064
NIR-08063,32,2021,LU 5 Late-1,PLY,3,N17-2319,2,2021_PLY_LU 5 Late-1_3_N17-2319_2_NIR-08063
NIR-08062,2,2021,LU 5 Late-1,PLY,3,N17-2319,1,2021_PLY_LU 5 Late-1_3_N17-2319_1_NIR-08062
NIR-08061,63,2021,LU 5 Late-1,PLY,2,N17-882,3,2021_PLY_LU 5 Late-1_2_N17-882_3_NIR-08061
NIR-08060,52,2021,LU 5 Late-1,PLY,2,N17-882,2,2021_PLY_LU 5 Late-1_2_N17-882_2_NIR-08060
NIR-08059,17,2021,LU 5 Late-1,PLY,2,N17-882,1,2021_PLY_LU 5 Late-1_2_N17-882_1_NIR-08059
NIR-08058,85,2021,LU 5 Late-1,PLY,1,N17-701,3,2021_PLY_LU 5 Late-1_1_N17-701_3_NIR-08058
NIR-08057,56,2021,LU 5 Late-1,PLY,1,N17-701,2,2021_PLY_LU 5 Late-1_1_N17-701_2_NIR-08057
NIR-08056,22,2021,LU 5 Late-1,PLY,1,N17-701,1,2021_PLY_LU 5 Late-1_1_N17-701_1_NIR-08056
NIR-08265,101,2021,LU 5 Late-2,CAS,40,N16-590,3,2021_CAS_LU 5 Late-2_40_N16-590_3_NIR-08265
NIR-08264,43,2021,LU 5 Late-2,CAS,40,N16-590,2,2021_CAS_LU 5 Late-2_40_N16-590_2_NIR-08264
NIR-08263,2,2021,LU 5 Late-2,CAS,40,N16-590,1,2021_CAS_LU 5 Late-2_40_N16-590_1_NIR-08263
NIR-08262,83,2021,LU 5 Late-2,CAS,39,N10-687,3,2021_CAS_LU 5 Late-2_39_N10-687_3_NIR-08262
NIR-08261,72,2021,LU 5 Late-2,CAS,39,N10-687,2,2021_CAS_LU 5 Late-2_39_N10-687_2_NIR-08261
NIR-08260,34,2021,LU 5 Late-2,CAS,39,N10-687,1,2021_CAS_LU 5 Late-2_39_N10-687_1_NIR-08260
NIR-08259,111,2021,LU 5 Late-2,CAS,38,Dunphy,3,2021_CAS_LU 5 Late-2_38_Dunphy_3_NIR-08259
NIR-08258,59,2021,LU 5 Late-2,CAS,38,Dunphy,2,2021_CAS_LU 5 Late-2_38_Dunphy_2_NIR-08258
NIR-08257,35,2021,LU 5 Late-2,CAS,38,Dunphy,1,2021_CAS_LU 5 Late-2_38_Dunphy_1_NIR-08257
NIR-08256,97,2021,LU 5 Late-2,CAS,37,Miller,3,2021_CAS_LU 5 Late-2_37_Miller_3_NIR-08256
NIR-08255,78,2021,LU 5 Late-2,CAS,37,Miller,2,2021_CAS_LU 5 Late-2_37_Miller_2_NIR-08255
NIR-08254,15,2021,LU 5 Late-2,CAS,37,Miller,1,2021_CAS_LU 5 Late-2_37_Miller_1_NIR-08254
NIR-08253,105,2021,LU 5 Late-2,CAS,36,Osage,3,2021_CAS_LU 5 Late-2_36_Osage_3_NIR-08253
NIR-08252,53,2021,LU 5 Late-2,CAS,36,Osage,2,2021_CAS_LU 5 Late-2_36_Osage_2_NIR-08252
NIR-08251,4,2021,LU 5 Late-2,CAS,36,Osage,1,2021_CAS_LU 5 Late-2_36_Osage_1_NIR-08251
NIR-08250,104,2021,LU 5 Late-2,CAS,35,N19-1458,3,2021_CAS_LU 5 Late-2_35_N19-1458_3_NIR-08250
NIR-08249,66,2021,LU 5 Late-2,CAS,35,N19-1458,2,2021_CAS_LU 5 Late-2_35_N19-1458_2_NIR-08249
NIR-08248,8,2021,LU 5 Late-2,CAS,35,N19-1458,1,2021_CAS_LU 5 Late-2_35_N19-1458_1_NIR-08248
NIR-08247,113,2021,LU 5 Late-2,CAS,34,N19-1457,3,2021_CAS_LU 5 Late-2_34_N19-1457_3_NIR-08247
